district_name,doc_type,title,url,adopted,source_page,notes
East Hardwick Fire District 1,ordinance,EHFD #1 Governing Ordinance v1.1,https://drive.google.com/file/d/1uPVQOnkDmk67ONwNb0TmOhUD4v9DJ6wy/view?usp=drive_link,2026-07-21,https://ehfd.mystrikingly.com/,"Supplied by the project lead. 10 pp. Approved 21 July 2026; defines buildings, users and service terms."
East Hardwick Fire District 1,policy,EHFD #1 Procurement Policy,https://drive.google.com/file/d/1DOQsNeYQr9ZPu1hdPNkQSUxyHpDalVfi/view?usp=sharing,,https://ehfd.mystrikingly.com/,Supplied by the project lead. 7 pp. Adopted by the Prudential Committee.
East Hardwick Fire District 1,other,EHFD #1 document (restricted),https://drive.google.com/file/d/1PLYacgSaZS3ZnZWVvAi1xogTjEB9TDdr/view?usp=drive_link,,https://ehfd.mystrikingly.com/,"Supplied by the project lead. NOT PUBLIC: Drive returns a sign-in page, so the file is not shared openly and its contents are unknown. Needs sharing permissions changed or a copy supplied."
East Hardwick Fire District 1,other,"EHFD #1 scanned document (3 pp, no text layer)",https://drive.google.com/file/d/13LKYmo5YGNMiZ7Tf9ToYn6RmjZ5-vHoJ/view?usp=sharing,,https://ehfd.mystrikingly.com/,Supplied by the project lead. 3 pp scan with no text layer; contents unidentified until OCR.
East Hardwick Fire District 1,policy,EHFD No. 1 Privacy Policy,https://drive.google.com/file/d/1XAQb1-xczmjRCAqs0Ad5URABhF_yJE2x/view?usp=sharing,2026-07-21,https://ehfd.mystrikingly.com/,Supplied by the project lead. 1 p. Adopted 21 July 2026.
East Hardwick Fire District 1,other,"Hardwick Historical Society Journal, Vol. 9 Issue 4 (Spring 2020)",https://drive.google.com/file/d/1-UYklCsW8uCzxe512VkKGK0hiOpucxnt/view?usp=sharing,2020,https://ehfd.mystrikingly.com/,"Supplied by the project lead. NOT a district governance document -- a 32 pp community historical journal (19 MB) that covers the East Hardwick hose drying tower. Kept as context, not as policy."
Grand Isle Consolidated Water District,minutes,2025 Annual Meeting Draft Minutes,https://gicwd.com/wp-content/uploads/2025/12/Annual-Minutes-2025-Draft.pdf,,https://gicwd.com/,Found by automated discovery on the district's own website.
Grand Isle Consolidated Water District,minutes,"August 19, 2026 Meeting Draft Minutes",https://gicwd.com/wp-content/uploads/2026/08/August-2026-minutes-Draft.pdf,,https://gicwd.com/,Found by automated discovery on the district's own website.
Greensboro Fire District 1,other,Greensboro Fire District No. 1 water system information,https://greensborovt.gov/wp-content/uploads/2016/01/Greensboro-Fire-District-No-1.pdf,2016-01,https://greensborovt.gov/water-department-questions/,Town-hosted description of the district water system.
North Branch Fire District 1,budget,NBFD 2024/25 Budget,https://www.northbranchfiredistrict.com/_files/ugd/cb2b9b_1eb8d73ca03149cf8e4f895026021273.pdf,,https://www.northbranchfiredistrict.com/,Found by automated discovery on the district's own website.
North Branch Fire District 1,ordinance,Ordinances,https://www.northbranchfiredistrict.com/_files/ugd/cb2b9b_1b4151e4659e4024a30f6187bab0d6fc.pdf,,https://www.northbranchfiredistrict.com/,Found by automated discovery on the district's own website.
North Branch Fire District 1,rates,Rate History,https://www.northbranchfiredistrict.com/_files/ugd/cb2b9b_3403ba010ccf4841a929050243423c01.pdf,,https://www.northbranchfiredistrict.com/,Found by automated discovery on the district's own website.
Norwich Fire District 1,minutes,1st pg. november minutes_2013.pdf,https://drive.google.com/file/d/1jroT4LPZg61JhCxnh1RUg1MOlGy4bQPB/view,,https://drive.google.com/drive/folders/1h5lzSdgViQYUkPgxnCKNoNicihk90t_L,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,2nd pg. november minutes_2013.pdf,https://drive.google.com/file/d/1N4S5FewDphcWVIFw6L3kxo-2gzmXyMxq/view,,https://drive.google.com/drive/folders/1h5lzSdgViQYUkPgxnCKNoNicihk90t_L,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,ANNUAL_MEETING_1-21-2008.pdf,https://drive.google.com/file/d/1DQZ00hl9XExA5OijdUuq_VofylqKxt9C/view,,https://drive.google.com/drive/folders/1pEIh2bEIbhzMci_jA39EBVGPEaxid_pY,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,ANNUAL_MEETING_1-22-2001.pdf,https://drive.google.com/file/d/1QVxCMaBmnA9IGDJfwc89gqffb21T0_NY/view,,https://drive.google.com/drive/folders/14DuCqtgQdIxjRMgfTxEOhck2flV_WVOx,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,ANNUAL_MEETING_1-22-2007.pdf,https://drive.google.com/file/d/1KHCBjLhVrSTABSf9Lr3DOFCR9pXg5lBf/view,,https://drive.google.com/drive/folders/19Pre_zONm0_25YchJm4tcHoZgze0MRS3,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,ANNUAL_MEETING_1-23-2006.pdf,https://drive.google.com/file/d/1sOykw48jY_5cFDZML93fVRQF-qYdT4Gz/view,,https://drive.google.com/drive/folders/1BQFffePkWmUM5AOJ13YHDxH2XsR3bUqj,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,ANNUAL_MEETING_1-26-2004.pdf,https://drive.google.com/file/d/1OK9AbWxHwDusbWVwUlttV0fBAtU4mzdz/view,,https://drive.google.com/drive/folders/15-kYKuq9SAbxmL9j58v9pQ_KX2BgqtG1,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,ANNUAL_MEETING_1-28-2002.pdf,https://drive.google.com/file/d/1fM6KV1KUCpESmqiVx-TI9Ec-SmWo7puf/view,,https://drive.google.com/drive/folders/1INFkksgOmwaoTallaOB9p_-dMgpWHDEB,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,LRPM 4-24-2001.pdf,https://drive.google.com/file/d/1E0KTpaGOc1cpvIIRK1XmsfkOSyJ1D8qM/view,,https://drive.google.com/drive/folders/14DuCqtgQdIxjRMgfTxEOhck2flV_WVOx,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,LRPM_3-20-2002.pdf,https://drive.google.com/file/d/1JeAG622ABW8l30ONYA36krJblzS8XjH_/view,,https://drive.google.com/drive/folders/1INFkksgOmwaoTallaOB9p_-dMgpWHDEB,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,LRPM_3-21-2003.pdf,https://drive.google.com/file/d/1L5xn-HSHKQC7tsgPfn8meim9AfR3Gv1H/view,,https://drive.google.com/drive/folders/1gSoC-crkSNprc3V69175PZCN_ci44fjt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,LRPM_4-27-99.pdf,https://drive.google.com/file/d/1iFxGtPOpyzGgtTC4ms3AszvLWiNC3fWW/view,,https://drive.google.com/drive/folders/1Bx8TZZxJXOmy0rQ32rljrsbPceCPD9GW,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,LRPM_4-6-2005.pdf,https://drive.google.com/file/d/1O4kHoqHHwYyamWraa8xtqYHBaIO8syYr/view,,https://drive.google.com/drive/folders/1yrQ1DL7Wv7oepYESw15p2Tc13AGqFhM4,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,other,LRPM_5-6-2004.pdf,https://drive.google.com/file/d/1_N1q9FKcv1K3XLUcG2UeulbC7gG7mB10/view,,https://drive.google.com/drive/folders/15-kYKuq9SAbxmL9j58v9pQ_KX2BgqtG1,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,LRPM_MINUTES_4-25-2000.pdf,https://drive.google.com/file/d/1z2Oon7p5c27OcBpC-MlOjXpT87b2GBMF/view,,https://drive.google.com/drive/folders/1MDfhN_wx7qOq52FyVC7wEkTzsnO60yc2,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES-2_2011-07-25.pdf,https://drive.google.com/file/d/1IWCEdYG4dJDx3a7emWf00zbkONoidBK2/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_ 2010-1-17.pdf,https://drive.google.com/file/d/1th2cJRQIcwwf2y1wJvtLkk0JtvHGocn1/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-02-15.pdf,https://drive.google.com/file/d/1HZ0It57mCwhj7HNugYPpk3JlzxirGU4A/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-03-24.pdf,https://drive.google.com/file/d/1sNHsb4cz8HmZNC2qX9HonZ4Wwa6p1XoF/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-04-26.pdf,https://drive.google.com/file/d/1bsymW6geFUrHN7F2idNOIs-9iEAkXynk/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-05-26.pdf,https://drive.google.com/file/d/1oq0ERLVAv2tvZSodGMKgGmeYY3FZ9wax/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-08-09.pdf,https://drive.google.com/file/d/1TUUPDlxHpz8Iuip9C_506RJKlCo0MPbH/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-09-20.pdf,https://drive.google.com/file/d/1uOSoFkyiPE0emxx8X7Za6T9PS_NVB-r7/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-10-26.pdf,https://drive.google.com/file/d/1xhJg0J_yFPNW6WVPl_5XbWsq1bDrpFYF/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-11-15.pdf,https://drive.google.com/file/d/16rcWgH83Z90rb2FYtPIp2tS0bgPWag6t/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2010-12-14.pdf,https://drive.google.com/file/d/1hs3ojuLFIqobpwh4TxexsOvWw3kFADRV/view,,https://drive.google.com/drive/folders/1-1z6q0lA1zFsSMFM5AbtGzVecQ22W2j7,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-03-07.pdf,https://drive.google.com/file/d/1Acd-I0LYy1PzcReLJEscHzg0jWH9a9MO/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-04-27.pdf,https://drive.google.com/file/d/1NskmXlC3Sk7ZK1XbNvrTNj96GD98lZfu/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-05-16.pdf,https://drive.google.com/file/d/1AUfmzNm2kAGGpWMqmEmpVfwLmK6FPK3B/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-06-20.pdf,https://drive.google.com/file/d/1rQ34N4xRoODUYl-pTz6QxZiECaMrv67x/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-07-25.pdf,https://drive.google.com/file/d/1ECTxRiKmTAYTijUCVTbXT2oYwNdbGDRT/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-09-19.pdf,https://drive.google.com/file/d/1RQlbRwiEbZel91jY9LeRZBQz4I3QrPJ-/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-10-17.pdf,https://drive.google.com/file/d/1mBAxjOi8BVAYqLhhn9pwgE13dIo8Ocgk/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-11-09.pdf,https://drive.google.com/file/d/1wyBe7JxWpQvNB2KSJ5tHQK2J7q9rOwxV/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-11-14.pdf,https://drive.google.com/file/d/1gSJpokopZ5uq39Hpujipt1uxjhYBkgZw/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2011-12-05.pdf,https://drive.google.com/file/d/1CqR9BvJshrCJTJODoWzrVz9VIPvJJG7Q/view,,https://drive.google.com/drive/folders/1w8P0rPgq8r-wuNEOO53WR11Pcgt9t9rt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-01-09.pdf,https://drive.google.com/file/d/1q_1SSeCTUnIlgyJYL_fEb8W7duU8cWwO/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-02-27.pdf,https://drive.google.com/file/d/1n_xjwQsmq0IObQ5IOh1KmBlogqKMctCB/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-03-19(2).pdf,https://drive.google.com/file/d/1TtEcgDzo60vxJvdcjf735sO3RwphBWc1/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-03-19(3).pdf,https://drive.google.com/file/d/1Wy3glK9jM10_vJ71IOWGHIeKFUqV954e/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-03-19.pdf,https://drive.google.com/file/d/11uzgG6dJIGV2ozV7kWlyD03yPQkb7xyb/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-04-25.pdf,https://drive.google.com/file/d/1uQ9aa1zhMBpwSWkYST2qPCPkeZYyYYqd/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-05-14(2).pdf,https://drive.google.com/file/d/1eSTRr93PrHg09-JRz2LB-ul0bEwCBx3H/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-05-14(3).pdf,https://drive.google.com/file/d/1iYU7In603NDXLztIol4Oca4r8j1poAUv/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-05-14.pdf,https://drive.google.com/file/d/1ZJupc0xKCmNhkrQhOD10YfstdVJqJQMq/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-06-18.pdf,https://drive.google.com/file/d/1mQcDGUihPDFUT0yo8puW06xQMvW3P08D/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-07-12(2).pdf,https://drive.google.com/file/d/1tLbQg0o0-11vL4EoB3mLBIsLFa3HU_8c/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-07-12.pdf,https://drive.google.com/file/d/1A10tfT3LsPQwn49_L5mh8bbKy-sgYAkd/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-07-23.pdf,https://drive.google.com/file/d/1fV9U_55_K1bc--XtbUjJVUfqeKCYoc49/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-09-24.pdf,https://drive.google.com/file/d/1taqzWpEH2EeD9EMT9rcG10LSt5hZH1qc/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-12-07.pdf,https://drive.google.com/file/d/18GkHo8CoioioAzmb9N_BnGdPxAmMzWrz/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2012-12-17.pdf,https://drive.google.com/file/d/171jA3w9U1_NwkMGjNdMwKXBw-P17WRm_/view,,https://drive.google.com/drive/folders/1j22ffyaIvkaMzIXbPgzLx1pFbl3kLzvt,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2014-06-04.pdf,https://drive.google.com/file/d/1asQV4G52yKlVMpoXNmctYuf02FSi5I75/view,,https://drive.google.com/drive/folders/1eArDlf3UVODTfBBHlB-E783hcbcwHFo9,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,MINUTES_2014-07-28.pdf,https://drive.google.com/file/d/1Co-ym3swMcw6jl16xcvlGF04vbt9a9ZH/view,,https://drive.google.com/drive/folders/1eArDlf3UVODTfBBHlB-E783hcbcwHFo9,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,NFD PC Minutes 01122015.pdf,https://drive.google.com/file/d/1EtGQMk3l126RJb40Qx1R8CZkfV5-55qT/view,,https://drive.google.com/drive/folders/1P3RNv7WOo_9k5lQV4hSC1NZU8hio6PxS,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,NFD PC Minutes 021615.pdf,https://drive.google.com/file/d/1U79VtUNJQxNGYG_lmBLuMq3o19JeROoK/view,,https://drive.google.com/drive/folders/1P3RNv7WOo_9k5lQV4hSC1NZU8hio6PxS,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,NFD PC Minutes 042015.pdf,https://drive.google.com/file/d/1sQfIzcZED9apgLuNKi29VcRYEeySP29a/view,,https://drive.google.com/drive/folders/1P3RNv7WOo_9k5lQV4hSC1NZU8hio6PxS,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,NFD PC Minutes 052015.pdf,https://drive.google.com/file/d/1NudK5kDLH6ao-ZalQO3aWMbpgZKM-4Fm/view,,https://drive.google.com/drive/folders/1P3RNv7WOo_9k5lQV4hSC1NZU8hio6PxS,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PC-MEETING-MINUTES-APPROVED_12-19-2001.pdf,https://drive.google.com/file/d/1J7-SIgG__j5zeXxCi7IrfpJe0YwBpFD2/view,,https://drive.google.com/drive/folders/14DuCqtgQdIxjRMgfTxEOhck2flV_WVOx,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-01-22.pdf,https://drive.google.com/file/d/1A06YLRUWpsJojBYWOO3nE52O0uYBxEUR/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-02-26.pdf,https://drive.google.com/file/d/1qpx6RR3a5bCIAI1xarqHrnSD6swzewTi/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-03-19.pdf,https://drive.google.com/file/d/1s4QO1Ob-czkktwIgerfZivRW1OZ3zh0h/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-05-14.pdf,https://drive.google.com/file/d/1PSbrQMet5lc1FK871hsLgv5KIZRKBz5u/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-07-23.pdf,https://drive.google.com/file/d/1NnHNl_OJM4IWwAimXVujAhEWC5oNpKff/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-09-17.pdf,https://drive.google.com/file/d/1SVR7rmh0Q_PV1PbnK11eVcvzDKM2Ixln/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
Norwich Fire District 1,minutes,PCMeetingMinutes_FINAL_2018-10-22.pdf,https://drive.google.com/file/d/15WaXHb4eSr18qPAp59_p9AyQNz2DI_0v/view,,https://drive.google.com/drive/folders/1jYR9_KTqlwkCPkPtqKCtFh_ADUrv7Spr,"From the district-published public Google Drive (root), linked from norwich.vt.us as official public documents."
