District Name,Town,District Type,Services,Population,Districts In Town,Single District Town,Has Legal Charter,Matched Pwsid,Matched Pws Name,Match Score,Match Status,Has Service Polygon,Political Bnd Proxy,Website,Contact Info
East Calais Fire District 1,Calais,Fire District,Water,200,1,TRUE,FALSE,VT0005262,EAST CALAIS FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005262 in VT DEC Drinking Water Watch | Contact via Town of Calais: 802-456-8720
Canaan Fire District 2,Canaan,Fire District,Water,350,2,FALSE,FALSE,VT0005107,CANAAN FD #2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005107 in VT DEC Drinking Water Watch | Contact via Town of Canaan: 802-266-3305
Canaan Fire District 1,Canaan,Fire District,Water,970,2,FALSE,FALSE,VT0005106,CANAAN FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005106 in VT DEC Drinking Water Watch | Contact via Town of Canaan: 802-266-3305
Castleton Fire District 1,Castleton,Fire District,Water,1940,2,FALSE,FALSE,VT0005212,CASTLETON FIRE DISTRICT 1,100,auto_confident,Y,,https://www.castletonvermont.org/home/pages/castleton-fire-district-1,"Phone: 802-468-8900 | Email: cfd1office@aol.com | PO Box 227, Castleton VT 05735 | Operator: Kerry Fowler 802-345-0921"
Castleton Fire District 3,Castleton,Fire District,Water,500,2,FALSE,FALSE,VT0020889,CASTLETON FIRE DISTRICT 3,100,auto_confident,Y,,https://www.castletonvermont.org,"Phone: 802-278-8013 | Contact via Town of Castleton | 263 Rte. 30 North, Bomoseen VT 05732"
Colchester Fire District 2,Colchester,Fire District,Water,8300,1,TRUE,FALSE,VT0005059,COLCHESTER FIRE DISTRICT 2,100,auto_confident,Y,service_area_proxy,https://cfd2vt.com,"Phone: 802-862-4621 | Email: info@cfd2vt.com | 844 Church Rd, Colchester VT 05446 | Admin: Jeffrey Bessette"
Coventry Fire District 1,Coventry,Fire District,Water,251,1,TRUE,FALSE,VT0005191,COVENTRY FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005191 in VT DEC Drinking Water Watch | Contact via Town of Coventry: 802-754-2288
Craftsbury Fire District 2,Craftsbury,Fire District,Water,420,1,TRUE,FALSE,VT0005194,CRAFTSBURY FIRE DISTRICT 2,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005194 in VT DEC Drinking Water Watch | Contact via Town of Craftsbury: 802-586-2823
Danby Mount Tabor Fire District 1,Danby,Fire District,Water,385,1,TRUE,FALSE,VT0005217,DANBY MOUNT TABOR F D 1,93.33333333,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005217 in VT DEC Drinking Water Watch | Contact via Town of Danby: 802-293-5136
Danville Fire District 1,Danville,Fire District,Water,500,1,TRUE,FALSE,VT0005037,DANVILLE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005037 in VT DEC Drinking Water Watch | Contact via Town of Danville: 802-684-3352
Dorset Fire District 1,Dorset,Fire District,Water,530,2,FALSE,FALSE,VT0005020,DORSET FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005020 in VT DEC Drinking Water Watch | Contact via Town of Dorset: 802-867-5353
East Dorset Fire District 1,Dorset,Fire District,Water,192,2,FALSE,FALSE,VT0005021,EAST DORSET FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005021 in VT DEC Drinking Water Watch | Contact via Town of Dorset: 802-867-5353
Fairfax Fire District 1,Fairfax,Fire District,Water,80,1,TRUE,TRUE,VT0005403,FAIRFAX FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005403 in VT DEC Drinking Water Watch | Contact via Town of Fairfax: 802-849-6111
East Fairfield Fire District 1,Fairfield,Fire District,Water,184,2,FALSE,FALSE,VT0005119,EAST FAIRFIELD FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005119 in VT DEC Drinking Water Watch | Contact via Town of Fairfield: 802-827-3964
Fairfield Fire District 2,Fairfield,Fire District,Water,126,2,FALSE,FALSE,VT0020415,FAIRFIELD FIRE DISTRICT 2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0020415 in VT DEC Drinking Water Watch | Contact via Town of Fairfield: 802-827-3964
South Georgia Fire District,Georgia,Fire District,Water,500,1,TRUE,FALSE,VT0005121,SOUTH GEORGIA FIRE DISTRICT,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005121 in VT DEC Drinking Water Watch | Contact via Town of Georgia: 802-524-3524
Grand Isle Fire District 4,Grand Isle,Fire District,Water,1078,2,FALSE,FALSE,VT0005139,GRAND ISLE FIRE DISTRICT 4,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005139 in VT DEC Drinking Water Watch | Contact via Town of Grand Isle: 802-372-8800 | Note: separate from Grand Isle Consolidated Water District
Greensboro Bend Fire District 2,Greensboro,Fire District,Water,71,2,FALSE,FALSE,VT0005199,GREENSBORO BEND FIRE DISTRICT #2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005199 in VT DEC Drinking Water Watch | Contact via Town of Greensboro: 802-533-2911
Greensboro Fire District 1,Greensboro,Fire District,Water,551,2,FALSE,FALSE,VT0005198,GREENSBORO FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005198 in VT DEC Drinking Water Watch | Contact via Town of Greensboro: 802-533-2911
East Hardwick Fire District 1,Hardwick,Fire District,Water,350,1,TRUE,FALSE,VT0005038,EAST HARDWICK FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://ehfd.mystrikingly.com,"Phone: 802-471-3451 | Email: trustees@easthardwick.gov | PO Box 22, East Hardwick VT 05836"
Highgate Fire District 1,Highgate,Fire District,Water,280,1,TRUE,FALSE,,,,,,,,No PWSID match on file | Contact via Town of Highgate: 802-868-4697
Huntington Fire District 1,Huntington,Fire District,Water,120,1,TRUE,FALSE,VT0005076,HUNTINGTON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005076 in VT DEC Drinking Water Watch | Contact via Town of Huntington: 802-434-2032
Hyde Park Fire District 1,Hyde Park,Fire District,Water,275,1,TRUE,FALSE,VT0005153,HYDE PARK FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005153 in VT DEC Drinking Water Watch | Contact via Town of Hyde Park: 802-888-2300
Irasburg Fire District 1,Irasburg,Fire District,Water,200,1,TRUE,FALSE,VT0005200,IRASBURG FD #1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005200 in VT DEC Drinking Water Watch | Contact via Town of Irasburg: 802-754-2242
Jericho Fire District 1,Jericho,Fire District,Water,190,1,TRUE,FALSE,VT0005476,JERICHO FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://jerichofoothills.org,"Phone: 802-244-7420 (Simon Operations) | Email: prudential_committee@jerichofoothills.org | 32 Foothills Dr, Jericho VT 05465"
Lunenburg Fire District 1,Lunenburg,Fire District,Water,250,2,FALSE,FALSE,VT0005112,LUNENBURG FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005112 in VT DEC Drinking Water Watch | Contact via Town of Lunenburg: 802-892-5959
Lunenburg Fire District 2,Lunenburg,Fire District,Water & WW,400,2,FALSE,FALSE,VT0005113,LUNENBURG FIRE DISTRICT 2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005113 in VT DEC Drinking Water Watch | Contact via Town of Lunenburg: 802-892-5959
Lyn Haven Fire District 1,Lyndon,Fire District,Water,100,1,TRUE,FALSE,VT0005041,LYN HAVEN FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005041 in VT DEC Drinking Water Watch | Contact via Town of Lyndon: 802-626-5785
East Middlebury Fire District 1,Middlebury,Fire District,Water,642,1,TRUE,FALSE,VT0005003,EAST MIDDLEBURY FD 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005003 in VT DEC Drinking Water Watch | Contact via Town of Middlebury: 802-388-8100
Norwich Fire District 1,Norwich,Fire District,Water,870,1,TRUE,FALSE,VT0005326,NORWICH FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://norwich.vt.us/fire-district/,"Admin: 802-649-3474 | Water shop: 802-649-5424 | Email: admin@norwichfiredistrict.org | 306 Main St Suite #1, Norwich VT 05055 | Water emergency: waterdept@norwichfiredistrict.org"
Peacham Fire District 1,Peacham,Fire District,Water,150,1,TRUE,FALSE,VT0005042,PEACHAM FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005042 in VT DEC Drinking Water Watch | Contact via Town of Peacham: 802-592-3218
Pownal Fire District 2,Pownal,Fire District,Water,682,2,FALSE,FALSE,VT0020734,POWNAL FIRE DISTRICT 2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0020734 in VT DEC Drinking Water Watch | Contact via Town of Pownal: 802-823-5572
Pownal Fire District 3,Pownal,Fire District,Water,60,2,FALSE,FALSE,VT0005517,POWNAL FIRE DISTRICT 3,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005517 in VT DEC Drinking Water Watch | Contact via Town of Pownal: 802-823-5572
Richmond Fire District 1,Richmond,Fire District,Water,56,1,TRUE,FALSE,VT0005426,RICHMOND FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005426 in VT DEC Drinking Water Watch | Contact via Town of Richmond: 802-434-2557
Royalton Fire District 1,Royalton,Fire District,Water,1500,1,TRUE,FALSE,VT0005330,ROYALTON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://royaltonvt.gov/services/town_water_department.php,"Phone: 802-763-8974 | Email: office@royaltonfiredistrict1.com | 55 North St / PO Box 204, South Royalton VT 05068"
Rutland Town Fire District 5,Rutland Town,Fire District,Water,110,5,FALSE,FALSE,VT0005429,RUTLAND TOWN FIRE DISTRICT 5,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005429 in VT DEC Drinking Water Watch | Contact via Town of Rutland: 802-773-2528
Rutland Town Fire District 1,Rutland Town,Fire District,Water,401,5,FALSE,FALSE,VT0005534,RUTLAND TOWN FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005534 in VT DEC Drinking Water Watch | Contact via Town of Rutland: 802-773-2528
Rutland Town Fire District 11,Rutland Town,Fire District,Water,29,5,FALSE,FALSE,VT0005534,,,,,,https://anrapp.vermont.gov/drinkingwater,No separate PWSID confirmed (may share VT0005534) | Contact via Town of Rutland: 802-773-2528
Rutland Town Fire District 4,Rutland Town,Fire District,Water,136,5,FALSE,FALSE,VT0020885,RUTLAND TOWN FIRE DISTRICT 4,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0020885 in VT DEC Drinking Water Watch | Contact via Town of Rutland: 802-773-2528
Rutland Town Fire District 6,Rutland Town,Fire District,Water,137,5,FALSE,FALSE,VT0005378,RUTLAND TOWN FIRE DISTRICT 6,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005378 in VT DEC Drinking Water Watch | Contact via Town of Rutland: 802-773-2528
Ryegate Fire District 2,Ryegate,Fire District,Water & WW,131,1,TRUE,FALSE,VT0005043,RYEGATE FIRE DISTRICT 2,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005043 in VT DEC Drinking Water Watch | Contact via Town of Ryegate: 802-584-3680
Sheffield Fire District 1,Sheffield,Fire District,Water,50,1,TRUE,FALSE,VT0005381,SHEFFIELD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005381 in VT DEC Drinking Water Watch | Contact via Town of Sheffield: 802-626-8862
Cuttingsville Fire District,Shrewsbury,Fire District,Water,108,1,TRUE,FALSE,VT0005241,CUTTINGSVILLE FIRE DISTRICT,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005241 in VT DEC Drinking Water Watch | Contact via Town of Shrewsbury: 802-492-3511
South Burlington Fire District,South Burlington,Fire District,Water,250,2,FALSE,FALSE,VT0005090,SOUTH BURLINGTON FIRE DISTRICT,100,auto_confident,Y,,https://www.sbvt.gov,"Contact via City of South Burlington | 575 Dorset St, South Burlington VT 05403 | Phone: 802-846-4107"
South Hero Fire District 4,South Hero,Fire District,Water,760,1,TRUE,FALSE,VT0020080,SOUTH HERO FIRE DISTRICT 4,100,auto_confident,Y,service_area_proxy,https://shfdn4.org,"Phone: 802-372-3088 | Email: shfdn4@gmail.com | 28 Hill Rd, South Hero VT 05486 | Billing: c/o Nicole Sancibrian 802-476-0680"
St George Fire District 1,St George,Fire District,Water,42,2,FALSE,TRUE,VT0005093,ST GEORGE FIRE DISTRICT 1,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005093 in VT DEC Drinking Water Watch | Contact via Town of St. George: 802-482-2272
St George Fire District 2,St George,Fire District,Water,72,2,FALSE,TRUE,VT0005094,ST GEORGE FIRE DISTRICT #2,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005094 in VT DEC Drinking Water Watch | Contact via Town of St. George: 802-482-2272
St Johnsbury Center Fire District 1,St Johnsbury,Fire District,Water,370,1,TRUE,FALSE,VT0005046,ST JOHNSBURY CENTER F D 1,93.87755102,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005046 in VT DEC Drinking Water Watch | Contact via Town of St. Johnsbury: 802-748-3926
Stowe Fire District 2 Gold Brook Circle,Stowe,Fire District,Water,86,2,FALSE,FALSE,VT0005168,STOWE F D 2 GOLD BROOK CIRCLE,94.73684211,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005168 in VT DEC Drinking Water Watch | Contact via Town of Stowe: 802-253-6133
Stowe Fire District 4,Stowe,Fire District,Water,120,2,FALSE,FALSE,VT0005523,STOWE FIRE DISTRICT 4,100,auto_confident,Y,,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005523 in VT DEC Drinking Water Watch | Contact via Town of Stowe: 802-253-6133
Winhall-Stratton Fire District 1,Stratton,Fire District,Water & WW,6200,1,TRUE,FALSE,VT0005305,WINHALL STRATTON F D 1,93.02325581,auto_confident,Y,service_area_proxy,https://www.wsfd1.com,"Phone: 802-297-9590 | Email: cannella@sover.net | 9 Orcutt Meadows Rd / PO Box 611, Stratton Mountain VT 05155 | Bookkeeper: Rosa Cannella"
Wallingford Fire District 1,Wallingford,Fire District,Water & WW,956,1,TRUE,FALSE,VT0005242,WALLINGFORD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://www.wallingfordvt.com/boards-minutes/fire-district-1,"Phone: 802-446-2964 | Email: wallfired1@vermontel.net | PO Box 87 / 75 School St, Wallingford VT 05773 | Water emergency: Chris Hayes 802-732-6011"
Washington Fire District,Washington,Fire District,Water,170,1,TRUE,FALSE,VT0005185,WASHINGTON FIRE DISTRICT,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005185 in VT DEC Drinking Water Watch | Contact via Town of Washington: 802-883-2218
Waterville Fire District 1,Waterville,Fire District,Water,84,1,TRUE,FALSE,VT0005169,WATERVILLE FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005169 in VT DEC Drinking Water Watch | Contact via Town of Waterville: 802-644-8888
Ascutney Fire District 2,Weathersfield,Fire District,Water,485,1,TRUE,FALSE,VT0005339,ASCUTNEY FIRE DISTRICT #2,100,auto_confident,Y,service_area_proxy,https://www.weathersfieldvt.org/220/Ascutney-Water-District,"Phone: 802-674-2626 | Email: JCurrie@weathersfield.org | PO Box 550, Ascutney VT 05030 | Water Director: Jeremy Currie"
Westfield Fire District 1,Westfield,Fire District,Water,120,1,TRUE,FALSE,VT0005207,WESTFIELD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005207 in VT DEC Drinking Water Watch | Contact via Town of Westfield: 802-744-6559
Westford Fire District 1,Westford,Fire District,Water & WW,50,1,TRUE,FALSE,VT0005450,WESTFORD FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005450 in VT DEC Drinking Water Watch | Contact via Town of Westford: 802-878-4587
Wheelock Fire District 1,Wheelock,Fire District,Water,50,1,TRUE,FALSE,VT0005049,WHEELOCK FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://anrapp.vermont.gov/drinkingwater,Lookup PWSID: VT0005049 in VT DEC Drinking Water Watch | Contact via Town of Wheelock: 802-626-9094
Williston Fire District 1,Williston,Fire District,Water,212,1,TRUE,FALSE,VT0005100,WILLISTON FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://www.town.williston.vt.us,"Phone: 802-735-7200 | Covers Vine St, Porterwood Dr, and 2 homes on Old Creamery Rd | Contact via Town of Williston, 7900 Williston Rd, Williston VT 05495"
Cold Brook Fire District 1,Wilmington,Fire District,Water & WW,700,2,FALSE,TRUE,VT0005313,COLD BROOK FIRE DISTRICT 1,100,auto_confident,Y,,,"Phone: 802-464-0460 | Email: coldbrookfire@gmail.com | PO Box 895, Wilmington VT 05363 | Water & sewer district"
Worcester Fire District 1,Worcester,Fire District,Water & WW,350,1,TRUE,FALSE,VT0005289,WORCESTER FIRE DISTRICT 1,100,auto_confident,Y,service_area_proxy,https://worcestervt.org,"Phone: 802-431-0287 | Email: worcesterfiredistrict@gmail.com | PO Box 105, Worcester VT 05682 | Chair: 802-431-0287"
Champlain Water District,South Burlington,Water District,Water,,2,FALSE,TRUE,VT0005092,CHAMPLAIN WATER DISTRICT,100,auto_confident,Y,,https://www.champlainwater.gov,"Phone: 802-864-7454 | Email: (contact form on site) | 403 Queen City Park Rd, South Burlington VT 05403"
Derby Line Village Water District,Derby,Water District,Water,,1,TRUE,FALSE,VT0020568,DERBY LINE VILLAGE WATER DISTRICT,100,auto_confident,Y,service_area_proxy,https://derbyvt.org/derby-line/village-of-derby-line/,"Phone: 802-873-3420 | Email: dlvillage@outlook.com | 104 Main St / PO Box 209, Derby Line VT 05830 | Clerk/Treasurer: Peggy Kelley"
Elmore Water District,Elmore,Water District,Water,,1,TRUE,FALSE,VT0005152,ELMORE WATER DISTRICT,100,auto_confident,Y,service_area_proxy,https://elmorevt.org,"Phone: 802-888-2637 (Town of Elmore) | Small system (32 people, 14 connections) | Contact via Town of Elmore, 20 Worcester Village Rd"
Grand Isle Consolidated Water District,Grand Isle,Water District,Water,,2,FALSE,FALSE,VT0020614,GRAND ISLE CONSOLIDATED WATER DISTRICT,100,auto_confident,Y,,https://gicwd.com,"Phone: 802-221-3601 | PO Box 9, Grand Isle VT 05458 | Billing hours: Tue-Thu 8am-4pm"
Tri Town Water District,Bridport,Water District,Water,,1,TRUE,FALSE,VT0005001,TRI TOWN WATER DISTRICT,100,auto_confident,Y,service_area_proxy,https://www.tri-townwater.com,"Phone: 802-758-2202 | Email: tritownwater@gmavt.net | PO Box 85 / 14 Crown Point Rd, Bridport VT 05734 | Emergency pager: 802-290-6655"
Vergennes Panton Water District,Vergennes,Water District,Water,,1,TRUE,FALSE,VT0005010,VERGENNES PANTON WATER DISTRICT,100,auto_confident,Y,service_area_proxy,https://vergennespantonwatersdistrict.org,"Phone: 802-877-2440 | Email: vpwd.main1@gmail.com | PO Box 152 / 63 School St Suite A, Vergennes VT 05491 | After hours pager: 802-741-2828"
Wilmington Water District,Wilmington,Water District,Water,,2,FALSE,FALSE,VT0005310,WILMINGTON WATER DIST,91.30434783,auto_confident,Y,,https://wilmingtonvermont.us/departments/water-department/,"Phone: 802-464-8591 | Email: jlazelle@wilmingtonvt.us | PO Box 217 / 2 E Main St, Wilmington VT 05363 | Utility Supt: John Lazelle | Billing: Christine Richter ext 112"
North Branch Fire District 1,Dover,Fire District,WW,,1,TRUE,TRUE,VT0005211,,,,,,https://www.northbranchfiredistrict.com,"Phone: 802-464-8415 | Email: administration@nbfdwwt.com | 78 Dorr Fitch Road, West Dover VT 05356 | Sewer district only"
Sherburne Fire District 1,Killington,Fire District,WW,,1,TRUE,FALSE,VT0005602,,,,,,https://www.sfd1.org,"Plant: 802-422-3831 | District Office: 802-282-5246 | Email: sherburnefiredistrict@gmail.com | 107 Dean Hill Rd / PO Box 555, Killington VT 05751 | Sewer district only"
